algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
a2c_tuned,42,4100,0.3,13.62,,,14.74,0.46,0.04
a2c_tuned,42,4200,0.28,13.28,,,14.72,0.42,0.12
a2c_tuned,42,4300,0.24,13.66,,,14.74,0.44,0.04
a2c_tuned,42,4400,0.22,13.18,,,14.74,0.58,0.08
a2c_tuned,42,4500,0.22,13.1,,,14.76,0.68,0.06
a2c_tuned,42,4600,0.24,13.3,,,14.72,0.66,0.02
a2c_tuned,42,4700,0.2,13.08,,,14.78,0.7,0.06
a2c_tuned,42,4800,0.24,13.48,,,14.8,0.56,0.04
a2c_tuned,42,4900,0.22,13.3,,,14.74,0.62,0.04
a2c_tuned,42,5000,0.24,13.48,,,14.78,0.6,0.02
dqn_tuned,42,100,0.08,10.2,,,14.74,2.22,0.02
dqn_tuned,42,200,0.12,10.06,,,14.78,2.36,0.0
dqn_tuned,42,300,0.12,10.12,,,14.78,2.28,0.02
dqn_tuned,42,400,0.18,10.4,,,14.86,2.18,0.02
dqn_tuned,42,500,0.08,9.3,,,14.84,2.72,0.02
dqn_tuned,42,600,0.1,9.82,,,14.9,2.44,0.04
dqn_tuned,42,700,0.04,9.7,,,14.88,2.54,0.02
dqn_tuned,42,800,0.08,10.0,,,14.82,2.36,0.02
dqn_tuned,42,900,0.1,9.52,,,14.82,2.5,0.06
dqn_tuned,42,1000,0.1,9.86,,,14.8,2.32,0.06
dqn_tuned,42,1100,0.08,9.58,,,14.8,2.46,0.06
dqn_tuned,42,1200,0.1,9.6,,,14.82,2.36,0.1
dqn_tuned,42,1300,0.12,9.2,,,14.9,2.6,0.1
dqn_tuned,42,1400,0.08,9.3,,,14.94,2.72,0.04
dqn_tuned,42,1500,0.12,9.4,,,14.92,2.56,0.08
dqn_tuned,42,1600,0.1,9.44,,,14.82,2.44,0.1
dqn_tuned,42,1700,0.14,9.46,,,14.86,2.4,0.12
dqn_tuned,42,1800,0.12,8.9,,,14.9,2.6,0.16
dqn_tuned,42,1900,0.12,9.36,,,14.82,2.48,0.1
dqn_tuned,42,2000,0.1,8.74,,,14.98,2.82,0.12
dqn_tuned,42,2100,0.08,9.26,,,14.86,2.5,0.12
dqn_tuned,42,2200,0.06,8.78,,,14.86,2.64,0.16
dqn_tuned,42,2300,0.08,9.42,,,14.84,2.46,0.1
dqn_tuned,42,2400,0.06,9.44,,,14.9,2.48,0.1
dqn_tuned,42,2500,0.08,9.44,,,14.84,2.5,0.08
dqn_tuned,42,2600,0.08,8.96,,,14.86,2.6,0.14
dqn_tuned,42,2700,0.1,9.28,,,14.86,2.44,0.14
dqn_tuned,42,2800,0.06,9.32,,,14.82,2.5,0.1
dqn_tuned,42,2900,0.08,9.18,,,14.88,2.6,0.1
dqn_tuned,42,3000,0.04,9.38,,,14.8,2.46,0.1
dqn_tuned,42,3100,0.08,9.66,,,14.82,2.28,0.12
dqn_tuned,42,3200,0.08,9.36,,,14.88,2.56,0.08
dqn_tuned,42,3300,0.1,9.66,,,14.82,2.28,0.12
dqn_tuned,42,3400,0.12,9.22,,,14.84,2.56,0.1
dqn_tuned,42,3500,0.14,9.78,,,14.8,2.26,0.1
dqn_tuned,42,3600,0.1,9.2,,,14.9,2.5,0.14
dqn_tuned,42,3700,0.04,9.24,,,14.76,2.36,0.16
dqn_tuned,42,3800,0.04,8.56,,,14.8,2.72,0.16
dqn_tuned,42,3900,0.08,8.88,,,14.98,2.8,0.1
dqn_tuned,42,4000,0.06,8.98,,,14.9,2.66,0.12
dqn_tuned,42,4100,0.08,9.56,,,14.74,2.24,0.14
dqn_tuned,42,4200,0.1,9.3,,,14.78,2.34,0.16
dqn_tuned,42,4300,0.1,9.1,,,14.86,2.58,0.12
dqn_tuned,42,4400,0.06,9.36,,,14.78,2.36,0.14
dqn_tuned,42,4500,0.08,9.44,,,14.78,2.32,0.14
dqn_tuned,42,4600,0.06,9.1,,,14.84,2.52,0.14
dqn_tuned,42,4700,0.06,8.84,,,14.82,2.64,0.14
dqn_tuned,42,4800,0.06,9.14,,,14.76,2.46,0.14
dqn_tuned,42,4900,0.06,9.08,,,14.74,2.38,0.18
dqn_tuned,42,5000,0.04,8.72,,,14.8,2.64,0.16
