algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
a2c,42,6600,0.0,6.88,0,50,10.04,0.78,0.32,42_20260110_094054
a2c,42,6700,0.0,6.88,0,50,10.02,0.82,0.3,42_20260110_094054
a2c,42,6800,0.0,6.38,0,50,10.0,0.96,0.34,42_20260110_094054
a2c,42,6900,0.0,6.76,0,50,10.02,0.48,0.46,42_20260110_094054
a2c,42,7000,0.0,7.42,0,50,10.0,0.44,0.34,42_20260110_094054
a2c,42,7100,0.0,7.96,0,50,10.0,0.32,0.28,42_20260110_094054
a2c,42,7200,0.0,7.64,0,50,10.02,0.64,0.22,42_20260110_094054
a2c,42,7300,0.0,7.3,0,50,10.0,0.7,0.26,42_20260110_094054
a2c,42,7400,0.0,7.9,0,50,10.04,0.72,0.14,42_20260110_094054
a2c,42,7500,0.0,8.3,0,50,10.02,0.46,0.16,42_20260110_094054
a2c,42,7600,0.0,8.18,0,50,10.04,0.38,0.22,42_20260110_094054
a2c,42,7700,0.0,7.8,0,50,10.02,0.46,0.26,42_20260110_094054
a2c,42,7800,0.0,7.02,0,50,10.02,0.6,0.36,42_20260110_094054
a2c,42,7900,0.0,7.04,0,50,10.0,0.58,0.36,42_20260110_094054
a2c,42,8000,0.0,7.86,0,50,10.04,0.54,0.22,42_20260110_094054
a2c,42,8100,0.0,7.52,0,50,10.0,0.64,0.24,42_20260110_094054
a2c,42,8200,0.0,7.1,0,50,10.02,0.86,0.24,42_20260110_094054
a2c,42,8300,0.0,6.48,0,50,10.04,0.98,0.32,42_20260110_094054
a2c,42,8400,0.0,6.5,0,50,10.06,0.88,0.36,42_20260110_094054
a2c,42,8500,0.0,6.1,0,50,10.04,0.92,0.42,42_20260110_094054
a2c,42,8600,0.0,6.62,0,50,10.02,0.8,0.36,42_20260110_094054
a2c,42,8700,0.0,6.88,0,50,10.06,0.74,0.34,42_20260110_094054
a2c,42,8800,0.0,7.16,0,50,10.02,0.68,0.3,42_20260110_094054
a2c,42,8900,0.0,7.58,0,50,10.0,0.46,0.3,42_20260110_094054
a2c,42,9000,0.0,8.18,0,50,10.0,0.36,0.22,42_20260110_094054
a2c,42,9100,0.0,8.38,0,50,10.1,0.46,0.16,42_20260110_094054
a2c,42,9200,0.0,8.04,0,50,10.02,0.44,0.22,42_20260110_094054
a2c,42,9300,0.0,7.56,0,50,10.04,0.54,0.28,42_20260110_094054
a2c,42,9400,0.0,7.24,0,50,10.0,0.78,0.24,42_20260110_094054
a2c,42,9500,0.0,7.02,0,50,10.06,0.72,0.32,42_20260110_094054
a2c,42,9600,0.0,7.5,0,50,10.06,0.78,0.2,42_20260110_094054
a2c,42,9700,0.0,7.54,0,50,10.04,0.5,0.3,42_20260110_094054
a2c,42,9800,0.0,7.84,0,50,10.02,0.34,0.3,42_20260110_094054
a2c,42,9900,0.0,7.84,0,50,10.06,0.56,0.22,42_20260110_094054
a2c,42,10000,0.0,8.34,0,50,10.08,0.52,0.14,42_20260110_094054
a2c,42,10100,0.0,8.18,0,50,10.02,0.42,0.2,42_20260110_094054
a2c,42,10200,0.0,7.88,0,50,10.02,0.52,0.22,42_20260110_094054
a2c,42,10300,0.0,7.9,0,50,10.02,0.66,0.16,42_20260110_094054
a2c,42,10400,0.0,8.08,0,50,10.06,0.74,0.1,42_20260110_094054
a2c,42,10500,0.0,8.36,0,50,10.16,0.4,0.2,42_20260110_094054
a2c,42,10600,0.0,7.58,0,50,10.1,0.86,0.16,42_20260110_094054
a2c,42,10700,0.0,7.32,0,50,10.08,0.98,0.16,42_20260110_094054
a2c,42,10800,0.0,6.48,0,50,10.04,1.08,0.28,42_20260110_094054
a2c,42,10900,0.0,8.44,0,50,10.02,0.54,0.1,42_20260110_094054
a2c,42,11000,0.0,8.24,0,50,10.04,0.6,0.12,42_20260110_094054
a2c,42,11100,0.0,8.32,0,50,10.04,0.56,0.12,42_20260110_094054
a2c,42,11200,0.0,8.12,0,50,10.1,0.44,0.22,42_20260110_094054
a2c,42,11300,0.0,8.06,0,50,10.06,0.5,0.2,42_20260110_094054
a2c,42,11400,0.0,8.18,0,50,10.08,0.5,0.18,42_20260110_094054
a2c,42,11500,0.0,8.02,0,50,10.06,0.52,0.2,42_20260110_094054
a2c,42,11600,0.0,8.12,0,50,10.02,0.6,0.14,42_20260110_094054
a2c,42,11700,0.0,8.12,0,50,10.02,0.6,0.14,42_20260110_094054
a2c,42,11800,0.0,8.32,0,50,10.12,0.5,0.16,42_20260110_094054
a2c,42,11900,0.0,9.22,0,50,10.04,0.26,0.06,42_20260110_094054
a2c,42,12000,0.0,8.88,0,50,10.08,0.4,0.08,42_20260110_094054
a2c,42,12100,0.0,8.6,0,50,10.12,0.36,0.16,42_20260110_094054
a2c,42,12200,0.0,8.74,0,50,10.04,0.4,0.1,42_20260110_094054
a2c,42,12300,0.0,8.42,0,50,10.08,0.28,0.22,42_20260110_094054
a2c,42,12400,0.0,8.86,0,50,10.06,0.3,0.12,42_20260110_094054
a2c,42,12500,0.0,8.68,0,50,10.04,0.38,0.12,42_20260110_094054
a2c,42,12600,0.0,9.12,0,50,10.12,0.3,0.08,42_20260110_094054
a2c,42,12700,0.0,8.64,0,50,10.04,0.4,0.12,42_20260110_094054
a2c,42,12800,0.0,8.26,0,50,10.08,0.46,0.18,42_20260110_094054
a2c,42,12900,0.0,8.58,0,50,10.04,0.38,0.14,42_20260110_094054
a2c,42,13000,0.0,8.7,0,50,10.04,0.22,0.18,42_20260110_094054
a2c,42,13100,0.0,8.86,0,50,10.04,0.24,0.14,42_20260110_094054
a2c,42,13200,0.0,9.04,0,50,10.06,0.26,0.1,42_20260110_094054
a2c,42,13300,0.0,9.22,0,50,10.04,0.16,0.1,42_20260110_094054
a2c,42,13400,0.0,8.54,0,50,10.04,0.4,0.14,42_20260110_094054
a2c,42,13500,0.0,9.12,0,50,10.06,0.22,0.1,42_20260110_094054
a2c,42,13600,0.0,8.98,0,50,10.04,0.18,0.14,42_20260110_094054
a2c,42,13700,0.0,8.58,0,50,10.06,0.34,0.16,42_20260110_094054
a2c,42,13800,0.0,8.52,0,50,10.06,0.32,0.18,42_20260110_094054
a2c,42,13900,0.0,9.18,0,50,10.06,0.24,0.08,42_20260110_094054
a2c,42,14000,0.0,8.62,0,50,10.1,0.24,0.2,42_20260110_094054
a2c,42,14100,0.0,8.6,0,50,10.02,0.26,0.18,42_20260110_094054
a2c,42,14200,0.0,8.82,0,50,10.08,0.28,0.14,42_20260110_094054
a2c,42,14300,0.0,9.0,0,50,10.08,0.14,0.16,42_20260110_094054
a2c,42,14400,0.0,9.02,0,50,10.0,0.14,0.14,42_20260110_094054
a2c,42,14500,0.0,8.7,0,50,10.06,0.18,0.2,42_20260110_094054
a2c,42,14600,0.0,8.38,0,50,10.06,0.24,0.24,42_20260110_094054
a2c,42,14700,0.0,8.84,0,50,10.08,0.22,0.16,42_20260110_094054
a2c,42,14800,0.0,8.3,0,50,10.08,0.24,0.26,42_20260110_094054
a2c,42,14900,0.0,8.56,0,50,10.1,0.32,0.18,42_20260110_094054
a2c,42,15000,0.0,9.04,0,50,10.1,0.18,0.14,42_20260110_094054
a2c,42,15100,0.0,8.3,0,50,10.08,0.34,0.22,42_20260110_094054
a2c,42,15200,0.0,8.1,0,50,10.02,0.46,0.2,42_20260110_094054
a2c,42,15300,0.0,8.66,0,50,10.08,0.46,0.1,42_20260110_094054
a2c,42,15400,0.0,8.04,0,50,10.02,0.44,0.22,42_20260110_094054
a2c,42,15500,0.0,8.06,0,50,10.06,0.6,0.16,42_20260110_094054
a2c,42,15600,0.0,8.4,0,50,10.16,0.48,0.16,42_20260110_094054
a2c,42,15700,0.0,8.9,0,50,10.14,0.42,0.08,42_20260110_094054
a2c,42,15800,0.0,9.16,0,50,10.18,0.36,0.06,42_20260110_094054
a2c,42,15900,0.0,8.8,0,50,10.14,0.42,0.1,42_20260110_094054
a2c,42,16000,0.0,8.96,0,50,10.04,0.34,0.08,42_20260110_094054
a2c,42,16100,0.0,8.72,0,50,10.06,0.32,0.14,42_20260110_094054
a2c,42,16200,0.0,8.96,0,50,10.06,0.3,0.1,42_20260110_094054
a2c,42,16300,0.0,8.6,0,50,10.1,0.4,0.14,42_20260110_094054
a2c,42,16400,0.0,8.92,0,50,10.1,0.24,0.14,42_20260110_094054
a2c,42,16500,0.0,8.94,0,50,10.1,0.38,0.08,42_20260110_094054
a2c,42,16600,0.0,9.14,0,50,10.1,0.18,0.12,42_20260110_094054
a2c,42,16700,0.0,9.0,0,50,10.06,0.18,0.14,42_20260110_094054
a2c,42,16800,0.0,8.56,0,50,10.1,0.52,0.1,42_20260110_094054
a2c,42,16900,0.0,8.32,0,50,10.12,0.4,0.2,42_20260110_094054
a2c,42,17000,0.0,8.3,0,50,10.06,0.38,0.2,42_20260110_094054
a2c,42,17100,0.0,8.68,0,50,10.04,0.28,0.16,42_20260110_094054
a2c,42,17200,0.0,9.02,0,50,10.08,0.28,0.1,42_20260110_094054
a2c,42,17300,0.0,8.5,0,50,10.18,0.34,0.2,42_20260110_094054
a2c,42,17400,0.0,8.88,0,50,10.12,0.32,0.12,42_20260110_094054
a2c,42,17500,0.0,9.3,0,50,10.12,0.26,0.06,42_20260110_094054
a2c,42,17600,0.0,9.08,0,50,10.1,0.36,0.06,42_20260110_094054
a2c,42,17700,0.0,9.16,0,50,10.08,0.26,0.08,42_20260110_094054
a2c,42,17800,0.0,9.22,0,50,10.16,0.32,0.06,42_20260110_094054
a2c,42,17900,0.0,9.24,0,50,10.1,0.28,0.06,42_20260110_094054
a2c,42,18000,0.0,9.14,0,50,10.1,0.38,0.04,42_20260110_094054
a2c,42,18100,0.0,9.46,0,50,10.1,0.22,0.04,42_20260110_094054
a2c,42,18200,0.0,8.9,0,50,10.18,0.44,0.08,42_20260110_094054
a2c,42,18300,0.0,9.48,0,50,10.1,0.26,0.02,42_20260110_094054
a2c,42,18400,0.0,9.16,0,50,10.04,0.34,0.04,42_20260110_094054
a2c,42,18500,0.0,8.9,0,50,10.16,0.48,0.06,42_20260110_094054
a2c,42,18600,0.0,8.28,0,50,10.08,0.5,0.16,42_20260110_094054
a2c,42,18700,0.0,8.24,0,50,10.06,0.46,0.18,42_20260110_094054
a2c,42,18800,0.0,8.6,0,50,10.08,0.44,0.12,42_20260110_094054
a2c,42,18900,0.0,8.9,0,50,10.06,0.38,0.08,42_20260110_094054
a2c,42,19000,0.0,9.12,0,50,10.22,0.3,0.1,42_20260110_094054
a2c,42,19100,0.0,9.08,0,50,10.22,0.32,0.1,42_20260110_094054
a2c,42,19200,0.0,9.56,0,50,10.12,0.18,0.04,42_20260110_094054
a2c,42,19300,0.0,9.0,0,50,10.14,0.22,0.14,42_20260110_094054
a2c,42,19400,0.0,9.4,0,50,10.1,0.2,0.06,42_20260110_094054
a2c,42,19500,0.0,8.62,0,50,10.12,0.4,0.14,42_20260110_094054
a2c,42,19600,0.0,8.9,0,50,10.16,0.38,0.1,42_20260110_094054
a2c,42,19700,0.0,9.5,0,50,10.18,0.24,0.04,42_20260110_094054
a2c,42,19800,0.0,9.66,0,50,10.24,0.14,0.06,42_20260110_094054
a2c,42,19900,0.0,9.44,0,50,10.18,0.12,0.1,42_20260110_094054
a2c,42,20000,0.0,9.74,0,50,10.18,0.12,0.04,42_20260110_094054
a2c,123,100,0.0,4.86,0,50,10.02,1.28,0.52,123_20260110_094302
a2c,123,200,0.0,4.46,0,50,10.02,1.48,0.52,123_20260110_094302
a2c,123,300,0.0,5.06,0,50,10.14,1.14,0.56,123_20260110_094302
a2c,123,400,0.0,4.62,0,50,10.06,1.22,0.6,123_20260110_094302
a2c,123,500,0.0,5.38,0,50,10.08,1.2,0.46,123_20260110_094302
a2c,123,600,0.0,5.58,0,50,10.02,1.02,0.48,123_20260110_094302
a2c,123,700,0.0,5.96,0,50,10.02,0.98,0.42,123_20260110_094302
a2c,123,800,0.0,5.02,0,50,10.06,1.32,0.48,123_20260110_094302
a2c,123,900,0.0,5.32,0,50,10.04,1.16,0.48,123_20260110_094302
a2c,123,1000,0.0,5.52,0,50,10.12,1.3,0.4,123_20260110_094302
