algorithm,n_seeds,success_rate_final_mean,success_rate_final_std,success_rate_peak_mean,success_rate_peak_std,mean_score_final_mean,mean_score_final_std
a2c,3,0.000,0.000,0.000,0.000,9.760,0.430
dqn,3,0.000,0.000,0.000,0.000,4.147,0.775
