algorithm,seed,success_rate_final,success_rate_peak,peak_step,steps_to_100,mean_score_final,run_id
a2c,42,0.0,0.0,0,N/A,9.74,42_20260110_094054
a2c,123,0.0,0.0,0,N/A,9.34,123_20260110_094302
a2c,456,0.0,0.0,0,N/A,10.2,456_20260110_143954
dqn,42,0.0,0.0,0,N/A,4.82,42_20260110_094509
dqn,123,0.0,0.0,0,N/A,4.32,123_20260110_094719
dqn,456,0.0,0.0,0,N/A,3.3,456_20260110_144205
