algorithm,n_seeds,success_rate_final_mean,success_rate_final_std,success_rate_peak_mean,success_rate_peak_std,mean_score_final_mean,mean_score_final_std
no_contraction,2,0.480,0.085,0.600,0.057,14.890,0.240
persistent_z_no_contraction,2,0.560,0.057,0.650,0.071,14.860,0.113
