algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
no_contraction,42,7200,0.32,13.46,16,50,13.46,0.0,0.0,42_20260109_214022
no_contraction,42,7300,0.3,13.32,15,50,13.32,0.0,0.0,42_20260109_214022
no_contraction,42,7400,0.34,13.5,17,50,13.5,0.0,0.0,42_20260109_214022
no_contraction,42,7500,0.3,13.8,15,50,13.8,0.0,0.0,42_20260109_214022
no_contraction,42,7600,0.38,13.56,19,50,13.56,0.0,0.0,42_20260109_214022
no_contraction,42,7700,0.42,13.82,21,50,13.82,0.0,0.0,42_20260109_214022
no_contraction,42,7800,0.32,13.32,16,50,13.32,0.0,0.0,42_20260109_214022
no_contraction,42,7900,0.3,13.86,15,50,13.86,0.0,0.0,42_20260109_214022
no_contraction,42,8000,0.4,13.4,20,50,13.4,0.0,0.0,42_20260109_214022
no_contraction,42,8100,0.32,13.58,16,50,13.58,0.0,0.0,42_20260109_214022
no_contraction,42,8200,0.36,13.48,18,50,13.48,0.0,0.0,42_20260109_214022
no_contraction,42,8300,0.3,13.5,15,50,13.5,0.0,0.0,42_20260109_214022
no_contraction,42,8400,0.36,13.42,18,50,13.42,0.0,0.0,42_20260109_214022
no_contraction,42,8500,0.36,13.2,18,50,13.2,0.0,0.0,42_20260109_214022
no_contraction,42,8600,0.36,13.66,18,50,13.66,0.0,0.0,42_20260109_214022
no_contraction,42,8700,0.3,13.42,15,50,13.42,0.0,0.0,42_20260109_214022
no_contraction,42,8800,0.34,13.52,17,50,13.52,0.0,0.0,42_20260109_214022
no_contraction,42,8900,0.34,13.52,17,50,13.52,0.0,0.0,42_20260109_214022
no_contraction,42,9000,0.42,13.8,21,50,13.8,0.0,0.0,42_20260109_214022
no_contraction,42,9100,0.22,13.5,11,50,13.5,0.0,0.0,42_20260109_214022
no_contraction,42,9200,0.24,13.54,12,50,13.54,0.0,0.0,42_20260109_214022
no_contraction,42,9300,0.34,13.66,17,50,13.66,0.0,0.0,42_20260109_214022
no_contraction,42,9400,0.36,13.62,18,50,13.62,0.0,0.0,42_20260109_214022
no_contraction,42,9500,0.32,13.54,16,50,13.54,0.0,0.0,42_20260109_214022
no_contraction,42,9600,0.36,13.64,18,50,13.64,0.0,0.0,42_20260109_214022
no_contraction,42,9700,0.22,13.6,11,50,13.6,0.0,0.0,42_20260109_214022
no_contraction,42,9800,0.16,13.36,8,50,13.36,0.0,0.0,42_20260109_214022
no_contraction,42,9900,0.14,13.18,7,50,13.18,0.0,0.0,42_20260109_214022
no_contraction,42,10000,0.14,13.5,7,50,13.5,0.0,0.0,42_20260109_214022
no_contraction,42,10100,0.22,13.72,11,50,13.72,0.0,0.0,42_20260109_214022
no_contraction,42,10200,0.38,14.04,19,50,14.04,0.0,0.0,42_20260109_214022
no_contraction,42,10300,0.3,13.88,15,50,13.88,0.0,0.0,42_20260109_214022
no_contraction,42,10400,0.28,13.4,14,50,13.4,0.0,0.0,42_20260109_214022
no_contraction,42,10500,0.24,13.32,12,50,13.32,0.0,0.0,42_20260109_214022
no_contraction,42,10600,0.2,13.24,10,50,13.24,0.0,0.0,42_20260109_214022
no_contraction,42,10700,0.2,13.42,10,50,13.42,0.0,0.0,42_20260109_214022
no_contraction,42,10800,0.32,13.62,16,50,13.62,0.0,0.0,42_20260109_214022
no_contraction,42,10900,0.32,13.56,16,50,13.56,0.0,0.0,42_20260109_214022
no_contraction,42,11000,0.32,13.6,16,50,13.6,0.0,0.0,42_20260109_214022
no_contraction,42,11100,0.28,13.44,14,50,13.44,0.0,0.0,42_20260109_214022
no_contraction,42,11200,0.38,14.12,19,50,14.12,0.0,0.0,42_20260109_214022
no_contraction,42,11300,0.34,13.84,17,50,13.84,0.0,0.0,42_20260109_214022
no_contraction,42,11400,0.36,13.66,18,50,13.66,0.0,0.0,42_20260109_214022
no_contraction,42,11500,0.32,13.84,16,50,13.84,0.0,0.0,42_20260109_214022
no_contraction,42,11600,0.4,13.72,20,50,13.72,0.0,0.0,42_20260109_214022
no_contraction,42,11700,0.42,14.08,21,50,14.08,0.0,0.0,42_20260109_214022
