model,radius,metric,mean,std,n,ci_lower,ci_upper,p95,max
model_a,0.0,delta_V,1.168558,1.755616,2415,,,4.3455,15.9801
model_a,0.0,delta_pi,0.455568,0.646434,2415,,,1.8330,6.7353
model_a,0.0,delta_z,32.886750,8.631454,2415,,,43.0265,48.7971
model_a,0.0,argmax_agree,0.617805,0.485924,2415,0.5983,0.6370,,
model_a,0.0,saturated,0.000000,0.000000,0,,,,
model_a,0.0,z_pre_norm,0.000000,0.000000,2415,,,0.0000,0.0000
model_a,0.0,z_post_norm,0.000000,0.000000,2415,,,0.0000,0.0000
model_b,0.0,delta_V,1.848212,4.987475,2415,,,16.7287,25.1788
model_b,0.0,delta_pi,0.039509,0.068383,2415,,,0.1670,0.6054
model_b,0.0,delta_z,18.221971,4.849256,2415,,,29.7759,37.2786
model_b,0.0,argmax_agree,0.896066,0.305175,2415,0.8833,0.9076,,
model_b,0.0,saturated,0.000000,0.000000,0,,,,
model_b,0.0,z_pre_norm,0.000000,0.000000,2415,,,0.0000,0.0000
model_b,0.0,z_post_norm,0.000000,0.000000,2415,,,0.0000,0.0000
model_a,10.0,delta_V,0.152467,0.226301,2415,,,0.5473,3.3106
model_a,10.0,delta_pi,0.006175,0.013181,2415,,,0.0251,0.2778
model_a,10.0,delta_z,4.016606,1.949398,2415,,,7.0351,11.5334
model_a,10.0,argmax_agree,0.951139,0.215578,2415,0.9418,0.9590,,
model_a,10.0,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_a,10.0,z_pre_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_a,10.0,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_b,10.0,delta_V,0.119591,0.311862,2415,,,0.8602,2.0329
model_b,10.0,delta_pi,0.000313,0.000617,2415,,,0.0011,0.0076
model_b,10.0,delta_z,1.407249,0.375413,2415,,,2.1517,3.1348
model_b,10.0,argmax_agree,0.990062,0.099192,2415,0.9853,0.9933,,
model_b,10.0,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_b,10.0,z_pre_norm,32.316933,0.621250,2415,,,33.1912,33.1912
model_b,10.0,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_a,100.0,delta_V,1.168558,1.755616,2415,,,4.3455,15.9801
model_a,100.0,delta_pi,0.455568,0.646434,2415,,,1.8330,6.7353
model_a,100.0,delta_z,32.886750,8.631454,2415,,,43.0265,48.7971
model_a,100.0,argmax_agree,0.617805,0.485924,2415,0.5983,0.6370,,
model_a,100.0,saturated,0.000000,0.000000,2415,,,0.0000,0.0000
model_a,100.0,z_pre_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_a,100.0,z_post_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_b,100.0,delta_V,1.848212,4.987475,2415,,,16.7287,25.1788
model_b,100.0,delta_pi,0.039509,0.068383,2415,,,0.1670,0.6054
model_b,100.0,delta_z,18.221971,4.849256,2415,,,29.7759,37.2786
model_b,100.0,argmax_agree,0.896066,0.305175,2415,0.8833,0.9076,,
model_b,100.0,saturated,0.000000,0.000000,2415,,,0.0000,0.0000
model_b,100.0,z_pre_norm,32.316933,0.621250,2415,,,33.1912,33.1912
model_b,100.0,z_post_norm,32.316933,0.621250,2415,,,33.1912,33.1912
