model,n_train,n2,metric,mean,std,n,ci_lower,ci_upper,p95,max
model_a,2,4,delta_V,0.137475,0.218268,1000,,,0.5259,1.9111
model_a,2,4,delta_pi,0.000134,0.000297,1000,,,0.0005,0.0048
model_a,2,4,delta_z,3.663190,1.163193,1000,,,5.6932,9.4037
model_a,2,4,argmax_agree,0.913000,0.281835,1000,0.8939,0.9289,,
model_a,2,4,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_a,2,4,z_pre_norm,31.836520,0.735537,1000,,,33.1913,33.1913
model_a,2,4,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
model_a,2,8,delta_V,0.165769,0.287361,1000,,,0.6272,2.9930
model_a,2,8,delta_pi,0.000204,0.000578,1000,,,0.0008,0.0125
model_a,2,8,delta_z,4.261551,1.533275,1000,,,6.9722,10.2336
model_a,2,8,argmax_agree,0.902000,0.297315,1000,0.8820,0.9189,,
model_a,2,8,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_a,2,8,z_pre_norm,31.836520,0.735537,1000,,,33.1913,33.1913
model_a,2,8,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
model_a,2,16,delta_V,0.168332,0.292000,1000,,,0.6267,3.1954
model_a,2,16,delta_pi,0.000210,0.000551,1000,,,0.0008,0.0102
model_a,2,16,delta_z,4.325591,1.586935,1000,,,7.2191,10.0219
model_a,2,16,argmax_agree,0.900000,0.300000,1000,0.8798,0.9171,,
model_a,2,16,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_a,2,16,z_pre_norm,31.836520,0.735537,1000,,,33.1913,33.1913
model_a,2,16,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
model_b,2,4,delta_V,0.054094,0.047214,1000,,,0.1367,0.3788
model_b,2,4,delta_pi,0.000062,0.000144,1000,,,0.0002,0.0024
model_b,2,4,delta_z,1.467468,0.207414,1000,,,1.8254,2.9070
model_b,2,4,argmax_agree,0.960000,0.195959,1000,0.9460,0.9705,,
model_b,2,4,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_b,2,4,z_pre_norm,31.836430,0.735539,1000,,,33.1912,33.1912
model_b,2,4,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
model_b,2,8,delta_V,0.064299,0.059794,1000,,,0.1668,0.6785
model_b,2,8,delta_pi,0.000084,0.000207,1000,,,0.0003,0.0038
model_b,2,8,delta_z,1.672648,0.282207,1000,,,2.1429,4.3704
model_b,2,8,argmax_agree,0.955000,0.207304,1000,0.9403,0.9662,,
model_b,2,8,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_b,2,8,z_pre_norm,31.836430,0.735539,1000,,,33.1912,33.1912
model_b,2,8,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
model_b,2,16,delta_V,0.064737,0.061877,1000,,,0.1678,0.7833
model_b,2,16,delta_pi,0.000085,0.000210,1000,,,0.0003,0.0038
model_b,2,16,delta_z,1.677770,0.293115,1000,,,2.1532,4.8421
model_b,2,16,argmax_agree,0.955000,0.207304,1000,0.9403,0.9662,,
model_b,2,16,saturated,1.000000,0.000000,1000,,,1.0000,1.0000
model_b,2,16,z_pre_norm,31.836430,0.735539,1000,,,33.1912,33.1912
model_b,2,16,z_post_norm,10.000000,0.000000,1000,,,10.0000,10.0000
