step,seed,success_rate,mean_score
1600,123,0.0,5.82
1700,123,0.0,6.84
1800,123,0.0,4.7
1900,123,0.0,5.14
2000,123,0.0,5.66
2100,123,0.0,5.58
2200,123,0.0,5.4
2300,123,0.0,5.38
2400,123,0.0,6.44
2500,123,0.0,5.5
2600,123,0.0,5.86
2700,123,0.0,6.72
2800,123,0.0,7.66
2900,123,0.0,7.34
3000,123,0.0,7.34
3100,123,0.0,7.26
3200,123,0.0,5.7
3300,123,0.0,5.48
3400,123,0.0,4.9
3500,123,0.0,4.0
3600,123,0.0,4.5
3700,123,0.0,3.9
3800,123,0.0,3.5
3900,123,0.0,3.2
4000,123,0.0,3.84
4100,123,0.0,4.24
4200,123,0.0,3.54
4300,123,0.0,4.14
4400,123,0.0,4.14
4500,123,0.0,4.6
4600,123,0.0,4.96
4700,123,0.0,5.32
4800,123,0.0,5.2
4900,123,0.0,5.3
5000,123,0.0,6.04
5100,123,0.0,6.56
5200,123,0.0,6.82
5300,123,0.0,7.32
5400,123,0.0,7.88
5500,123,0.0,8.74
5600,123,0.0,8.86
5700,123,0.0,8.92
5800,123,0.0,8.98
5900,123,0.0,8.74
6000,123,0.0,9.18
6100,123,0.0,8.98
6200,123,0.0,8.86
6300,123,0.0,9.12
6400,123,0.0,9.18
6500,123,0.0,9.06
6600,123,0.0,9.1
6700,123,0.0,6.66
6800,123,0.0,9.32
6900,123,0.0,9.08
7000,123,0.0,9.38
7100,123,0.0,6.56
7200,123,0.0,9.34
7300,123,0.0,9.48
7400,123,0.0,9.48
7500,123,0.0,9.56
7600,123,0.0,9.52
7700,123,0.0,9.58
7800,123,0.0,9.56
7900,123,0.0,8.56
8000,123,0.0,7.06
8100,123,0.0,9.64
8200,123,0.0,9.74
8300,123,0.0,9.64
8400,123,0.0,9.74
8500,123,0.0,9.74
8600,123,0.0,9.74
8700,123,0.0,9.74
8800,123,0.0,9.74
8900,123,0.0,9.74
9000,123,0.0,9.74
9100,123,0.0,9.74
9200,123,0.0,9.74
9300,123,0.0,9.78
9400,123,0.0,9.68
9500,123,0.0,9.76
9600,123,0.0,9.74
9700,123,0.0,9.76
9800,123,0.0,9.76
9900,123,0.0,9.74
10000,123,0.0,9.74
10100,123,0.0,9.74
10200,123,0.0,9.74
10300,123,0.0,9.74
10400,123,0.0,9.74
10500,123,0.0,9.74
10600,123,0.0,9.74
10700,123,0.0,9.74
10800,123,0.0,9.74
10900,123,0.0,9.74
11000,123,0.0,9.62
11100,123,0.0,8.52
11200,123,0.0,9.74
11300,123,0.0,9.74
11400,123,0.0,9.74
11500,123,0.0,9.74
11600,123,0.0,9.76
11700,123,0.0,9.76
11800,123,0.0,9.76
11900,123,0.0,9.74
12000,123,0.0,9.74
12100,123,0.0,9.74
12200,123,0.0,9.74
12300,123,0.0,9.74
12400,123,0.0,9.74
12500,123,0.0,9.74
12600,123,0.0,9.74
12700,123,0.0,9.74
12800,123,0.0,9.74
12900,123,0.0,9.74
13000,123,0.0,9.74
13100,123,0.0,9.74
13200,123,0.0,9.74
13300,123,0.0,9.74
13400,123,0.0,9.74
13500,123,0.0,9.74
13600,123,0.0,9.74
13700,123,0.0,9.74
13800,123,0.0,9.74
13900,123,0.0,9.74
14000,123,0.0,9.74
14100,123,0.0,9.74
14200,123,0.0,9.58
14300,123,0.0,9.1
14400,123,0.0,9.02
14500,123,0.0,8.62
14600,123,0.0,8.36
