step,seed,success_rate,mean_score
4700,123,0.0,10.0
4800,123,0.0,10.0
4900,123,0.0,10.02
5000,123,0.0,10.0
5100,123,0.0,10.08
5200,123,0.0,10.0
5300,123,0.0,10.2
5400,123,0.0,10.1
5500,123,0.0,10.0
5600,123,0.0,10.12
5700,123,0.0,10.12
5800,123,0.0,10.08
5900,123,0.0,10.0
6000,123,0.0,10.14
6100,123,0.0,10.04
6200,123,0.0,10.26
6300,123,0.0,10.04
6400,123,0.0,10.28
6500,123,0.0,10.32
6600,123,0.0,10.3
6700,123,0.0,10.38
6800,123,0.0,10.12
6900,123,0.0,10.26
7000,123,0.0,10.56
7100,123,0.0,10.5
7200,123,0.0,10.36
7300,123,0.0,10.3
7400,123,0.0,10.38
7500,123,0.0,10.44
7600,123,0.0,10.54
7700,123,0.0,10.5
7800,123,0.0,10.44
7900,123,0.0,10.46
8000,123,0.0,10.46
8100,123,0.0,10.54
8200,123,0.0,10.68
8300,123,0.0,10.56
8400,123,0.0,10.62
8500,123,0.0,10.74
8600,123,0.0,10.86
8700,123,0.0,10.7
8800,123,0.0,10.84
8900,123,0.0,11.12
9000,123,0.0,11.34
9100,123,0.0,10.66
9200,123,0.0,10.82
9300,123,0.0,10.84
9400,123,0.0,11.3
9500,123,0.0,10.96
9600,123,0.0,11.14
9700,123,0.0,11.1
9800,123,0.0,11.58
9900,123,0.0,11.54
10000,123,0.04,11.32
10100,123,0.0,11.66
10200,123,0.0,11.36
10300,123,0.0,11.52
10400,123,0.0,11.6
10500,123,0.0,11.7
10600,123,0.0,11.72
10700,123,0.04,12.1
10800,123,0.0,11.84
10900,123,0.04,12.18
11000,123,0.0,11.88
11100,123,0.0,12.24
11200,123,0.0,12.18
11300,123,0.0,11.84
11400,123,0.02,11.88
11500,123,0.02,12.22
11600,123,0.04,12.3
11700,123,0.02,12.38
11800,123,0.0,12.46
11900,123,0.04,12.3
12000,123,0.08,12.56
12100,123,0.02,12.52
12200,123,0.04,12.28
12300,123,0.02,12.66
12400,123,0.12,12.84
12500,123,0.04,12.72
12600,123,0.06,12.44
12700,123,0.06,12.58
12800,123,0.14,13.02
12900,123,0.08,12.72
13000,123,0.12,12.86
13100,123,0.1,12.66
13200,123,0.12,13.02
13300,123,0.1,13.04
13400,123,0.16,13.08
13500,123,0.2,13.58
13600,123,0.16,13.44
13700,123,0.08,13.08
13800,123,0.22,13.54
13900,123,0.2,13.6
14000,123,0.16,13.5
14100,123,0.24,13.84
14200,123,0.2,13.86
