seed,success_rate,mean_score,final_filled_mean,final_violations_mean,final_zero_cand_mean
42,0.0000,-3.2600,16.0000,9.6300,0.0000
123,0.0000,-3.2600,16.0000,9.6300,0.0000
456,0.0000,-3.2600,16.0000,9.6300,0.0000
mean,0.0000,-3.2600,16.0000,9.6300,0.0000
