model,radius,metric,mean,std,n
model_a,0.0,delta_V,1.066528793888889,1.6821955270419855,1800
model_a,0.0,delta_pi,0.3048387977777778,0.5123030880048496,1800
model_a,0.0,delta_z,28.99633499277778,11.155841150880182,1800
model_a,0.0,argmax_agree,0.7011111111111111,0.4577710355490552,1800
model_a,0.0,saturation,0.0,0.0,0
model_a,10.0,delta_V,0.10418835888888889,0.16867785496993334,1800
model_a,10.0,delta_pi,0.0033721922222222224,0.008339346227822363,1800
model_a,10.0,delta_z,2.796973457777778,2.1121231395393014,1800
model_a,10.0,argmax_agree,0.9722222222222222,0.16433554953054488,1800
model_a,10.0,saturation,0.0,0.0,0
model_a,100.0,delta_V,1.066528793888889,1.6821955270419855,1800
model_a,100.0,delta_pi,0.3048387977777778,0.5123030880048496,1800
model_a,100.0,delta_z,28.99633499277778,11.155841150880182,1800
model_a,100.0,argmax_agree,0.7011111111111111,0.4577710355490552,1800
model_a,100.0,saturation,0.0,0.0,0
model_b,0.0,delta_V,0.1476053711111111,0.1818556708513468,1800
model_b,0.0,delta_pi,0.012110373888888889,0.028331844040009633,1800
model_b,0.0,delta_z,10.09180896,6.594691029811158,1800
model_b,0.0,argmax_agree,0.9605555555555556,0.1946498914639142,1800
model_b,0.0,saturation,0.0,0.0,0
model_b,10.0,delta_V,0.02061861388888889,0.03958445961129368,1800
model_b,10.0,delta_pi,8.9465e-05,0.00017944980077231132,1800
model_b,10.0,delta_z,0.6912646494444444,0.6124746052951283,1800
model_b,10.0,argmax_agree,0.995,0.07053367989832943,1800
model_b,10.0,saturation,0.0,0.0,0
model_b,100.0,delta_V,0.1476053711111111,0.1818556708513468,1800
model_b,100.0,delta_pi,0.012110373888888889,0.028331844040009633,1800
model_b,100.0,delta_z,10.09180896,6.594691029811158,1800
model_b,100.0,argmax_agree,0.9605555555555556,0.1946498914639142,1800
model_b,100.0,saturation,0.0,0.0,0
