algorithm,n_seeds,success_rate_final_mean,success_rate_final_std,success_rate_peak_mean,success_rate_peak_std,mean_score_final_mean,mean_score_final_std
upi_trm,1,0.000,0.000,0.000,0.000,10.040,0.000
a2c,1,0.000,0.000,0.000,0.000,5.820,0.000
